cost_id,company_id,construction_costs,construction_costs_currency,aisc_last_quarter,aisc_last_quarter_currency,aisc_last_year,aisc_last_year_currency,aisc_future,aisc_future_currency,aic_last_quarter,aic_last_quarter_currency,aic_last_year,aic_last_year_currency,tco_current,tco_current_currency,tco_future,tco_future_currency,last_updated
274,272,,,1250.0,USD,1200.0,USD,1300.0,USD,1150.0,USD,1100.0,USD,1400.0,USD,1450.0,USD,2025-03-25T00:00:00.000Z
275,273,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
276,274,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
277,275,,,,,,,,,,,,,,,,,2025-03-26T01:33:00.000Z
278,276,,,,,,,1200.0,USD,,,,,,,1000.0,USD,2025-03-26T01:33:00.000Z
279,277,,,,,1417.0,USD,1500.0,USD,,,,,1000.0,USD,1100.0,USD,2025-03-25T21:47:00.000Z
280,278,,,,,,,,,,,,,,,,,2025-03-25T18:55:00.000Z
281,279,,,,,,,,,,,,,,,,,2025-03-25T00:00:00.000Z
282,280,,,,,,,1062.0,CAD,,,,,,,966.0,CAD,2025-03-25T00:00:00.000Z
283,281,,,,,,,,,,,,,,,,,2025-03-25T00:00:00.000Z
284,282,,,,,,,585.0,USD,,,,,,,585.0,USD,2025-03-25T00:00:00.000Z
285,283,,,1195.0,USD,1200.0,USD,1225.0,USD,1100.0,USD,1125.0,USD,1021.0,USD,1050.0,USD,2025-03-26T02:43:00.000Z
286,284,,,,,,,,,,,,,,,,,2025-03-25T19:50:00.000Z
287,285,,,,,,,1500.0,USD,,,,,,,1200.0,USD,2025-03-25T19:50:00.000Z
288,286,,,,,,,1000.0,USD,,,,,,,800.0,USD,2025-03-25T20:02:00.000Z
289,287,,,,,,,1800.0,USD,,,,,,,1200.0,USD,2025-03-25T20:30:00.000Z
290,288,,,,,,,,,,,,,,,,,2025-03-25T20:11:00.000Z
291,289,,,,,,,,,,,,,,,,,2025-03-25T20:11:00.000Z
292,290,,,,,,,,,,,,,,,,,2025-03-25T20:11:00.000Z
293,291,,,,,,,1400.0,USD,,,,,,,1200.0,USD,2025-03-26T05:44:00.000Z
294,292,,,,,,,,,,,,,10.0,USD,8.0,USD,2025-03-26T05:44:00.000Z
295,293,,,,,,,,,,,,,5.0,USD,3.0,USD,2025-03-26T05:55:00.000Z
296,294,,,,,,,,,,,,,,,,,2025-03-26T06:03:00.000Z
297,295,,,,,,,937.0,USD,,,,,,,,,2025-03-26T06:30:00.000Z
298,296,,,3198.0,CAD,2930.0,CAD,3038.0,CAD,3500.0,CAD,3200.0,CAD,2598.0,CAD,2468.0,CAD,2025-03-26T06:11:00.000Z
299,297,,,,,,,1200.0,USD,,,,,,,,,2025-03-26T07:17:00.000Z
300,298,,,,,,,1200.0,USD,,,,,,,,,2025-03-26T07:20:00.000Z
301,299,,,,,,,,,,,,,,,,,2025-03-26T07:25:00.000Z
